content,score,Label
"over all everything is fine,tetapi yg dipermasalahkan adalah nitro sih,ak udh 1 bln pake nitro dan yg duluny gopayku ya bnyk skrng tiba2 gopayku menjadi 9k padahal ak sm sekali ga ad transaksi buat memperpanjang nitroku,tiba2 hangus seketika gitu aj jujur ngeri juga potongan hargany sampe duitku cuman sisa 9k..",2,Negatif
iñi bagus bet gw coba join discort pak gm bisa anjir mana masuk discort lain juga bisa mantap bet ini aplikasi,5,Positif
"DC udah lama ada di Indonesia, tapi ga ada pilihan ganti ke Bahasa Indonesia 😔",3,Netral
"semenjak update malah makin jelek, ketika menulis pesan di channel voice itu tidak terlihat karna voice chat tertutup, bahkan untuk mengedit pesan yg kita kirim pun susah karna tak terlihat",3,Netral
"etdah ni aplikasi knp si, pas gw mau login masukin password nya itu udh bener eh katanya error, error sih error tpi berkali kali",3,Netral
lumayan lah tapi kok saya tidak bisa ya? pas ingin masuk ke akun ini,5,Positif
saya tidak pernah memakai 😂😂 bercanda bagus kok,5,Positif
"bagus suka banget, enak buat main roblox (info mabar kk)",5,Positif
Bug gak bisa masuk ke grup server Hackthon.,3,Netral
pliss lah fix login sering login invalid padahal sudah benar,1,Negatif
cara ngubah ke bahasa Indonesia gimana,2,Negatif
sangat bagus kita bisa berinteraksi dengan org lain walaupun jauh,5,Positif
limit kirim file hanya 10 mb,2,Negatif
"kenapa yah pas aku mau kembali masuk akun tiba-tiba malah ada tulisan ""are you human?"" padahal udah jelas-jelas manusia lah...., aku udah berkali-kali berusaha masuk nya loh.... malah masih ada tulisanya terus... 🙏",1,Negatif
"bagus sekali, aku bisa berkomunikasi dengan orang lain",5,Positif
banyak bug login kembali tidak bisa login kembali,1,Negatif
harus verifikasi segala🙄🙄,1,Negatif
pass ama no hp udah bener tp eror mulu ga masuk masuk. PARAH,1,Negatif
masukin nomor telepon sendiri ga bisa bisa,1,Negatif
Bagus buat bikin circle sesuai selera kalian,5,Positif
"oon, udah di download malah ulang dari awal gak jelas banget",1,Negatif
"pas join server tulisan nya udah masuk, tapi pas masuk ulang ke discord server nya malah ngilang gajelas",1,Negatif
nyesel Ama ini apl. gw pas itu ikut salah satu server. dan di saat itu gw udah login di server itu. dan ini titik yang ngebuat gw hampir kecewa. ya semua channel di server yang gw abis login itu ga muncul semua. ya ibarat nya. gw pas itu di sediain channel yang muncul di semua kalangan mau itu kalangan orang yang belum login Ama yg udah. pas itu gw udah login dan harus nya otomatis semua Chanel itu muncul. tapi tapi semua server nya ga muncul semua. dan gw pernah Kriti di salah chanel mlhilng ch,2,Negatif
aplikasi yang bagus saya menemukan banyak teman disini dan yg paling seru banyak game menarik,5,Positif
"gak guna, dah ku masukin email yang bener masih gak bisa, agak lain, kalo bisa kasih bintang 0,1 kukasih 0,1. gak guna",1,Negatif
bagus bisa chat cari teman dan banyak lagi,4,Positif
mau main sama yang di grow a garden🥲,5,Positif
kenapa ferifikasi discord email saya kedaluarsa tolong bantuan nya,1,Negatif
saya gak bisa. login jadi saya hapus lagi,1,Negatif
"gimna sih ,gw udh ketik email segala macem mlah ada tulisan ""apakah anda manusia"" ,ya jdi gw apaan? ,raksasa? ,tlong benerin lgi dong ini sistem nya , udh di suruh masukin ini itu msih tetep gabisa",3,Netral
"baru kali ini dapat bug yg di mana ga keluar suara waktu lagi di vc ,pdhl ga kek gitu biasa ny benerin dong bug nya nyusahin",3,Netral
pas bgt buat main + tlfn + chat,5,Positif
"ni gimana mau login mau register tetep ga bisa,pw dah bener email dah bener,pas pengecekan juga dah bener kenapa masih juga gak bisa woyyyy",1,Negatif
mantap buat main GTA Rp🗿,5,Positif
keren aplikasi ngbrol dan mencari teman sharing,5,Positif
tambahin bahasa Indonesia dong,5,Positif
maaf kasih bintangnya dikit tapi saya mau nanya kenapa saya gak bisa login ya,3,Netral
baru menggunakan apk nya jika ok nanti saya kasi satu bintang lagi,4,Positif
aplikasi lolot gw udah coba nomor gw malah gak ada lolot,1,Negatif
banyak pengalaman sama teman teman baru,5,Positif
tidak bisa ganti frofil,1,Negatif
"akun gua ilang mulu pas di balikin ga bisa bisa,apcb",1,Negatif
susah di pakai dengan handphone penjelasan tidak lengkap pemasukan password dan akun nya selalu di tolak padahal sudah benar mungkin anda bisa menjaga diri anda tapi sepertinya aplikasi anda buatan anda tidak dijaga seperti anda sendiri,1,Negatif
sudah bbrpa kali login dan veryfikasi tapi gagal terus apk gajelaz pdhl alamt email dan password sdh benar!,1,Negatif
pls bisa lah login saya hapus hapus loh dua kali loh emang gak jelas,1,Negatif
"udh ku coba pakai akun yang lama untuk login tapi dak bisa masuk, lalu ku coba pakai akun baru tapi dak ada channel nya😭😭😭😭",1,Negatif
sangat membatu,5,Positif
ini gaada bahasa indonesia nya apa padahal lebih mudah,3,Netral
aplikasi yg bagus,5,Positif
"ini bug apa dah dari tadi salah Mulu mau login, di tambah juga kode verifikasi juga gk mau Mulu lewat link malah putih"" doang",3,Netral
mohon sediakan berbahasa Indonesia,4,Positif
ga bisa login karena masalah di verifikasi nomor telpon padahal saya memakai nomor telepon saya sendiri. Saya juga sudah kirim laporan ke Discord support dan belum ada jawaban ini sudah 2 hari discord blom memberikan jawaban,1,Negatif
"saya mewakili teman-teman saya yang terkena ""suspend age"", mohon untuk pihak discord dibenahi lagi sistem rules age nya. Karena, ada beberapa user yang ngetik ""6 tahun"" (yang gada hubungannya sama umur), namun ketika di report, user tersebut bisa terkena ""suspend age"" yang padahal typing dari user tidak berhubungan dengan ""umur"" sama sekali. Saya mohon untuk diperbaiki lagi sistem rules age nya, karena waktu pemulihan cukup lama yaitu sekitar 2 tahun, terimakasih 🙏🏻.",2,Negatif
"aplikasi bagus tetapi Mengapa Teman saya yang Sedang berkomunikasi dengan saya saat Main game tiba"" suka Terputus sendiri Teleponnya",4,Positif
akun di hack tiba saya ambil lagi akun nya semua hilang server discord yang saya ikuti,1,Negatif
"untuk sekarang B3 dulu, karna entah mengapa saat bermain game dan vc selalu keluar sendiri tanpa sebab dan saat masuk lagi suara saya hilang. tolong di tangani masalah ini",3,Netral
"ngga bisa loginn, loadingnya lama",1,Negatif
"makin update makin jelek, mending aku pake versi lama aja sekalian",3,Netral
discord tohapok bungul tambuk klabao login ga bisa ri register ga bisa sandi ama imel udah pas malah ga bisa masuk,1,Negatif
"Aplikasi sampah, mau login pakai nomer aja harus masukin kode konfirmasi, terus kode nya malah gak masuk",1,Negatif
gak bisa login,1,Negatif
gampang mendapatkan teman 🤭,5,Positif
dc nya tiba tiba mati itu kenapa ya?,2,Negatif
Aplikasi bagus untuk ngobrol sambil main game bisa komunikasi walaupun main game....,5,Positif
Mau lu apa sih kocak verifikasi email ga bisa keterangannya invalid pdhl gw dh masukin password yang bener,1,Negatif
tolong nonaktifkan Clyde bot karena itu menurut saya mengganggu. Saat lagi bertelfon jangan dimatikan saat udah lebih dari 5 menit,2,Negatif
waaahh dengan update terbaru saya bisa memverivikasi no hp saya wow aplikasi yg baguss,4,Positif
sudah bikin kode tapi tidak valid terus,1,Negatif
kualitas suara saat voice channels buruk,1,Negatif
rusak dc ya gk jls email udah benar Sandi udah bener ulang keh keh email warna merah,1,Negatif
"apk gak jelas, gak bisa masuk,, udh masukin email, pw, gak bisa,, masukin nomer juga gak bisa,, apk busuk,, gak jelas,, apk gak bener pas udh masukin email ama pwnya di bilang salah trus udh coba ganti sandinya trus masukin ttp gak bisa,, tolong dong ini aplikasi baru pertama kali make aja udh pusing bgt, udah liat tutor tapi pas di coba eror mulu,, udah uninstal tetap gk bisa, eror mulu,, pusing, bintang 1 dari gua pengalaman buruk 😮‍💨",1,Negatif
aplikasi gak guna masa register ngak bisa aplikasi busuk,1,Negatif
kenapa saya gk bisa login padahal saya sudah benar email pasword dan no hp tolong di perbaiki,1,Negatif
Mantap bengat harus dowload sih😍😍👍🏻👍🏻,5,Positif
apk nya ribet login ribet buat akun ribet bikin kesel,1,Negatif
aku sangat susah untuk login ke aplikasinya,1,Negatif
selalu gagal saat ingin connect akun youtube,1,Negatif
apk busuk masa gua login discord gak bisa pas verify your number gak ada notifikasi jir gua kasih bintang 1.,1,Negatif
nyari pertemananya susah,3,Netral
aplikasih ini sangat disarankan,5,Positif
"Setelah diupdate malah sering bug mic, sebelumnya tidak, sekarang jadi sering keluar masuk channel karena mic nya bug terus, sudah restart perangkat dan reinstall aplikasi, tolong segera diperbaiki, terimakasih.🙏🏻 Sudah bagus👍👍",5,Positif
pas verifikasi your number udah ku pasang nomor ku kok tetap aja gak bisa padahal itu nomor asli ku loh,3,Netral
"aplikasi yang ribet sekali saat REGISTER gak bisa , Login pun gak bisa udah nonton tutorial pun tetap gak bisa jangan download nyesel nanti",1,Negatif
kenapa gak bisa login 😡,3,Netral
aplikasi yg sangat jelek tidak bisa login padahal nomor & email yg dimasukan usah benar tapi gak bisa bodok,1,Negatif
"discord makin jelek, mau log in aja gabisa padahal email nya dah bener",1,Negatif
"wahh apk nya bagus saya suka, cocok kalau buat main game. bisa lewat telepon dan pastinya mantap, tapi minus nya ukuran apk ini gede dan kadang kalau mau buka discord nya malah suka keluar sendiri. ga cuma itu kadang error juga, lebih di perbaiki lagi yaa developer!",5,Positif
"tolong di perbaiki lagi aplikasi nya,karna saya sudah beberapa kali login tapi keluar terus tidak bisa masuk,harus verifikasi Gmail melulu,padahal saya sudah melakukan hal tersebut beberapa kali masih saja tidak bisa masuk",5,Positif
verify phone numbernya gk berkerja gk ada notifikasi verifikasi codenya mau whatsaap atau pun gmail,1,Negatif
apk udah bagus cuma satu kekurangannya dari bahasa gak ada bahasa Indonesia nya,2,Negatif
"aplikasi rusak,udah makai lama tiba2 di suruh login ulang,pake email satu2nya untuk gaming dan password yang benar malah gk bisa login lagi,perangkat lain juga gk bisa",1,Negatif
GK ad pw nya padahal sudah bener tapi GK ad pw nya gimana mau login kalau ga ad pw nya jadi nya gw GK bisa login jadi kesimpulan nya tolong lah discord bisa pake akun guest,1,Negatif
bagus banget dengan aplikasi ini aku jadi kenal banyak orang,5,Positif
ini apl benar gak takut hilang akun,3,Netral
gara gara aplikasi ini saya bisa bergabung dengan discor nya para YouTube ber,5,Positif
"ada bug tidak bisa buat akun yg dimana ada tahap ""how old are u"" disitu tidak ada tombol ""Ok/Yes"" yg bikin saya ga bisa buat akun mohon fix bug secepatnya🙏",4,Positif
mau buat akun buat adek gw malah kena disable account aneh bener,1,Negatif
gabisa masukin nomor hp anjr,1,Negatif
gajelas susah login,1,Negatif
"sebebarnya aplikasi ini bagus mau kasi bintang 5, tapi disini ada beberapa bug atau apalah, notifikasi discord kadang tidak masuk saya sudah mencoba beberapa hal, menonton tutorial,membuka settingan,menginstal ulang aplikasi,mencoba update dll. sama sekali tidak ada perubahan. dan terima kasih sudah membalas ulasan saya untuk sekrang 4 bintang dulu sampai notifikasi dc berfungsi kembali👍",4,Positif
"pleaseee, discord tolong saya tidak tahu ada yang gift saya nitro tapi sudah terlambat lewat kadaluarsa tolong berikan saya kesempatan untuk claim hadiah nitro itu🙏🏼🙏🏼.",4,Positif
nice apk dan memberi pengalaman baru dalam melakukan interaksi internet,5,Positif
"buset dah ini aplikasi kenapa si, kadang-kadang saat ngetik tapi mau kirim kaga bisa abis itu kalo ke channel lain atau ke server lain mesti ga bisa jadinya ngestuck di channel itu terus dan ga bisa kemana-mana bahkan ke notif atau ke profil juga ga bisa dan akhirnya buka yang versi web",1,Negatif
login gk bisa² sdh login disuruh login lagi,1,Negatif
aplikasi yang cocok untuk mencari teman Mabar atau teman ngobrol,5,Positif
aku dulu dah pernah buat akun gara gara hp ku ke riset aku mau bikin akun discord kaya yang lama tapi ko gak bisa masuk tulisan nya sudah ada bantu devoloper,2,Negatif
Apk apa ini setiap mau pake akun lama login invalid Mulu padahal email sama pw bener aneh banget,1,Negatif
"aplikasi ampas login ribet bet dah dari tadi gagal muluk, padahal dah pake no hp bener ama email nya tpi gak bisa kocak. paling emosi di bagian are you human, lawak mana ada robot bisa ngetik ama main hp kocak🗿",1,Negatif
tolong discord di perbaiki eror saya sudah masukan code verifikasi dengan benar dan kok gak bisa eror dan saya sudah lakukan berbagai cara tidak bisa masukan email password nomor kok tidak bisa login tolong di perbaiki 🙏,2,Negatif
Solusi yang dikasih sama sekali ngga ngebantu. semoga berkah ya cari rezekinya,1,Negatif
Ganggu bae lu gw lagi maen,5,Positif
kenapa upload filenya lama banget?,2,Negatif
saya tidak bisa membuat Akun Semua data sudah isi bodoh,1,Negatif
mohon untuk menambahkan bahasa indonesia🙏,2,Negatif
gk bisa join,1,Negatif
aku suka soalnya bisa di sapaa youtuber,5,Positif
bagus aku dapat cuan,5,Positif
"semenjak di update banyak bug, buka chat/DM ngestuck kadang black screen, trus ini tiba2 ada Disney2 an gabisa di tutup setiap di tutup popup trus gabisa buka apa2, tombol send ga muncul, klaim Nitro gagal apalah aplikasi ini malah kemunduran cmn banyak aja nitronya 🗿yaudah ku uninstall aj.",1,Negatif
aplikasi terbaik,5,Positif
"kenapa saya tidak bisa mendownload apk ini, tolong perbaiki secepat mungkin!",3,Netral
gak bisa login padahal udh masukin email beberapa kali tetap gak bisa,1,Negatif
nomor telpon sudah benar tapi bilang invalid kocak,1,Negatif
ini sangat membantu saya,5,Positif
akunnya udh jadi eh tiba tiba jadi kadarluarsa baru pake 3 hari udh kaga bisa di pake,2,Negatif
"aplikasi apaan ini, pas akun ku hilang, aku login make telepon. hasilnya: your code is invalid. padahal berapa detik baru dikasih notif/kode malah ga bisa. apaan sih? ini apk nya bugnya banyak kenapa dah?. emosi!, tolong diperbaiki. aku dah nunggu sampe 7 menit/berapa menit ga datang kode yang baru lagi dan valid. malah dibiarin gitu aku ga bisa login, ga kayak game lain yang butuh kode yang dah dikasih error, tapi dikasih lagi dan bisa.. PERBAIKI BUG NYA! apk busuk",2,Negatif
dulu saya pernah coba,5,Positif
suaranya putus putusss woii,1,Negatif
"apaan sih masa terus-menerus verifikasi email, padahal udah verifikasi",1,Negatif
bang pemilik aplikasi discord yong pak nginstal woi kok rak bisa bang discord padahal aku pak join server discord we e bang windah,1,Negatif
"discord sekarang ancur parah , kenapa setiap buka discord loading Mulu chat nya padahal internet saya bagus tapi ketika di restart hp langsung normal kembali apakah anda selaku Developer bisa memperbaiki hal tersebut soalnya meresahkan banget harus restart hp kan ribet ...",1,Negatif
"apk oon, padahal udh berkali² ketik email, ketik nomor, tetap aja kgk bisa, oon, ""are you human?"" udh tau manusia masih aj nanya, udh berkali² juga nyusun figur ny tetap aj gk bisa login, jdi ini mau bikin orang ngulang² trs gitu sampe mampus, nguji kesabaran orang oon, gk suka banget sih sama apk yang kalo mau login nyusahin orang😹😹 padahal nomor udah betul, email password/email nya jga udh betul oon😹😹",1,Negatif
"gak bener ni aplikasi,gak bisa register di susun gambar,udh tepat banget susun gambarnya,malah unable to register........ dan juga saat confirmation code sms nya gak keterima udh bbrp kali belum diterima juga mohon utk pihak discord perbaiki masalah ini........",2,Negatif
"Tolong untuk pihak discord bikin discord kayak versi 126.21 lagi, tampilan simple namun performa dapat diandalkan dan cepat tanggap dalam melakukan interaksi apapun tolong buatkan Discord Lite lahh (seperti v126.21), TOLONG, masa mau balas chat temen di discord delay banget kan ngga seru ya, mau voice eh malah stuck karna ui discord yang sudah tidak mendukung Device dengan spesifikasi low - mid, kalian sudah perbarui supaya lebih stabil..tapi nyatanya sama aja delay, tolong pertimbangkan 😭🙏🏻",3,Netral
kurang b indo,5,Positif
sangat membantu,4,Positif
apalah buat login gak bisa dikit dikit ada pemberitahuan are you human bikin apk gak jelas,1,Negatif
men download nya tapi lumayanlah,3,Netral
𝚖𝚊𝚕𝚊𝚑 𝚝𝚒𝚍𝚊𝚔 𝚋𝚒𝚜𝚊 𝚖𝚊𝚜𝚞𝚔 𝚙𝚊𝚍𝚊𝚑𝚊𝚕 𝚜𝚞𝚍𝚊𝚑 𝚖𝚎𝚖𝚋𝚞𝚊𝚝 𝚊𝚔𝚞𝚗 𝚋𝚎𝚛𝚔𝚊𝚕𝚒-𝚔𝚊𝚕𝚒,1,Negatif
"kerenn, menantang",5,Positif
kenapa scan QR discord saya tidak berfungsi di realme gt master android 13?,3,Netral
bagus dan cepat,5,Positif
jijik gak bisa login mending gak usah di install,1,Negatif
seruu🥳🥳🥳🥳 aplikasinya,5,Positif
"aplikasinya bagus tapi pas nyoba login connection pasti ga bisa,ada tulisan failed to connect tolong bantu..",5,Positif
saya dipaksa bikin bintang 5,5,Positif
aplikasi ini sangat bagus untuk kita berbincang,5,Positif
"app apaa, udah punya 2 akun gabisa login semuanya, padahal udah di forgot pw pas di ganti terus di masukin malah salah mulu, mau nya apa",1,Negatif
apk aneh login gk bisa2 pdhl udh salin di google tetap gk bisa tolong perbaiki ini,1,Negatif
"sering bug,gangguan, suara hilang/mantul padahal wifi/kuota full aneh",1,Negatif
mantap aplikasi nya,5,Positif
aplikasi berguna kaya budi,4,Positif
notifikasi halangin layar pas lagi spar 😡🤬,1,Negatif
pendapat saya adalah ini discord itu pas saya log in itu masukin email nah itu email-nya sudah benar tapi di bilang salah padahal itu udah bener bener betul tolong ini gmn caranya biar bisa plis😭😭🙏🙏🙏,1,Negatif
"beneran ga bisa login. Dulu bisa-bisa aja, sekarang malah begini. di minta verifikasi terus-terusan, ganti password, tapi tetep ga bisa.",3,Netral
"dikit dikit verifikasi, mana gabisa digeser/dipencet juga Hadeh",1,Negatif
ini kok GK bisa join ke discord nya padahal udah pakek lengkap dan harus verifikasi,1,Negatif
tiap di buka layarnya langsung meredupp,3,Netral
bagus buat gobrol bersama,5,Positif
"Apk anehh, masak sinyal bagus tapi pas registrasi mutar mutar trus di bagian pengisian date birhtday sama lama di tunggu mutar mutar terus loadingnya gak masuk masuk ke menu selanjutnya nge stack situ aja gak tau apa masalahnya, tolongg perbaikiiii!!!!!!",2,Negatif
"aku akan mempelajari ya,aku berharap BS membuat semangat",5,Positif
"bug akun , giliran mau login akun harus ganti sandi , eh ternyata sama aj g bisa , lalu yg satu lagi sandi nya salah ( kocak discord kebanyakan bug 😹😹😹 )",1,Negatif
gak tau cara masuk,1,Negatif
kenapa tidak ada terjemahan Indonesia,1,Negatif
ga bisa registrasi,1,Negatif
ini gimana dah padahal pasword bener tapi malah disalahin,1,Negatif
aplikasi nya bagus jadi aku kasi ★★★★★ bintang,5,Positif
aku mau ikut discord resmi nya grow and garden malah ga bisa benerin dikit lah yang bener bikin aplikasi,1,Negatif
aplikasi macam apa ini..............login email gabisa padahal email dah betul passwordnya juga udah betul sampe ganti password email tetep gabisa.....busuk emang,1,Negatif
"discord ini bagus, tapi kenapa saya kasih bintang 3?karena saya tidak bisa mendapatkan suara notifikasi saat ada @mentions yang saya pilih padahal saya sudah menonton tutorial, mengubah settingan discord dan semuanya telah saya coba tapi tidak ada yang berhasil .tolong tambahkan pengaturan notifikasi tambahan agar saya kasih 5 bintang atau saran",3,Netral
sandi saya padahal sama dengam yg saya catat tapi tetap tidak bisa login ulang,1,Negatif
Aplikasi ini keren aku bisa dapet temen baru,5,Positif
tolong perbaiki bug di poco X7 Pro tidak bisa di tap apa apa,4,Positif
"bagus si, tapi ada-in fitur autentikasi nya make otp dari email dong, susah kalo lupa make nfc,usb external\perangkat yang lain, mohon aja ni discord ya",5,Positif
discord adalah aplikasi favorit saya!!!,5,Positif
"saya tidak bisa menggunakan mikrofon, tolong segera di perbaiki",1,Negatif
"discord itu sangat tidak bermutu, dan tidak ada privasi, jangan download",1,Negatif
aplikasi ini sangat membantu saya saat bermain minecraft,5,Positif
bagus kok aplikasinya,5,Positif
"mau kirim ss malah tulisan failed to send message hold for option,udah ngulang berkali kali + mau kirim ss malah ga ada tombol kirim",1,Negatif
AKU DAH LOGIN DI HP PAS MAU UDAH LOGI DI PC KU AKUN DI HP KU ILANG DAN SEKARANG GK LOGIN LAGI !,1,Negatif
kalo daftar suka bug gaje,1,Negatif
masih gabisa udah aku ulang sama udah aku coba lagi Ta PI gabisa apk bohong huhuhu,1,Negatif
Aplikasi aneh login gabisa bisa,1,Negatif
plis kasih bhs indo,4,Positif
account gw ke log out gw GK tau karena passwordnya sama gw aja GK tau passwordnya,2,Negatif
"bug nya banyak banget,ak Uda nyalain wifi beberapa kali katanya sih ""jaringan anda tidak stabil""padahal jaringan ku lagi baik baik aj di perbaiki dikit lah cuk😮‍💨",1,Negatif
Sangat bagus untuk chatting,5,Positif
"suka ptah"" klo call di dc, ngebug mulu",3,Netral
"fishing masterlumayan bagus, buat mendapatkan ikan sss monster semua susah banget,JK bisa tlng di permudah mendapatkan ikan sss monster semua biar lebih seru bro, apa lagi duel Allah kalah, JK bisa lebih baik di hilangkan energi nya agar pemain lebih nyaman dan semakin banyak yg betah main, selama saya main tdk pernah dapat ikan sss monster ples atau ikan di atas SSS,,",4,Positif
"gila,best aplikasi buat komunikasi sih, pertemanan berawal dari discord xD",5,Positif
notif tidak ada padahal sudah di kasih tag susah sering kejadian nya begini tolong dong perbaiki,1,Negatif
apk yang sangat bagus terutama buat dapetin info dc game atau youtuber yang aku,5,Positif
"bisa call an sama seseorang bisa vc,bisa share screen membantu banget, minusnya kasih bahasa Indonesia,agar ga ngide waktu seting seting 🙏🙏",5,Positif
meskipun ini sulit aku tetep berusaha untuk buat akun,5,Positif
"Login Dipersulit, Padahal Jaringan Bagus Tapi Cuman Mutar² Doang, Banyak Bug Juga Kode Verifikasi Sulit Keluar.",1,Negatif
kok Ga bisa di download pdhl ruangan ku masih luas?,1,Negatif
mau buat akun pun ribet banget dah,1,Negatif
login nya susuh banget,1,Negatif
notif tidak muncul,2,Negatif
